condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,4,0,United States,99.3,3386,29,22,3101,18,46,1,1
Used,6,1,United States,100.0,311,0,0,3877,28,59,10,1
Used,6,1,Germany,98.2,55,0,1,4646,17,55,7,0
Open box,3,0,United States,100.0,1,0,0,1195,13,26,7,0
Used,6,1,United Kingdom,100.0,17,0,0,1082,18,59,7,0
Used,6,1,United States,100.0,114,0,0,449,15,31,7,1
Used,2,0,United States,98.5,80,1,1,8366,9,16,7,0
Used,2,0,United States,100.0,6,0,0,1993,3,3,7,0
Used,5,1,United Kingdom,96.4,27,0,1,4385,9,13,1,0
Used,6,1,Germany,100.0,108,0,0,1983,10,26,1,0
Used,5,1,United States,100.0,38,0,0,3532,6,10,7,0
Open box,0,0,United Kingdom,100.0,27,0,0,1651,12,19,7,0
Used,0,0,United Kingdom,98.5,66,0,1,6664,12,15,7,0
Used,1,0,United Kingdom,100.0,19,0,0,1226,11,16,7,0
Used,6,1,United States,100.0,5,0,0,2348,14,23,3,0
Used,3,0,United Kingdom,100.0,125,0,0,2059,5,9,7,0
Used,0,0,United States,100.0,9,0,0,5339,11,16,7,0
Used,0,0,United Kingdom,100.0,20,0,0,7389,4,4,7,0
Used,1,0,Australia,100.0,11,0,0,610,13,16,5,0
Open box,6,1,Australia,100.0,4,0,0,1189,4,11,7,0
Used,5,1,United States,100.0,3,0,0,4460,14,20,7,0
Used,6,1,United Kingdom,100.0,21,0,0,6360,10,13,7,0
For parts or not working,4,0,United States,100.0,8,0,0,499,10,57,5,0
Used,3,0,United States,100.0,29,0,0,3592,12,19,7,0
Used,2,0,Australia,100.0,11,0,0,3391,5,17,3,0
Used,5,1,United States,97.4,132,2,4,4452,13,47,1,0
Used,2,0,United States,100.0,18,0,0,6754,7,8,5,0
Used,0,0,United States,100.0,30,0,0,2426,10,15,5,0
Open box,0,0,Germany,100.0,2,0,0,501,19,70,5,0
Used,6,1,Australia,100.0,27,0,0,4054,16,78,7,0
Used,6,1,United States,98.2,56,0,1,2164,3,6,7,0
Used,3,0,Germany,50.0,2,0,2,1355,6,27,3,0
Used,0,0,United States,100.0,4,0,0,4694,17,38,7,0
Used,3,0,United Kingdom,100.0,123,0,0,2107,5,9,7,0
Used,5,1,United Kingdom,100.0,5,0,0,2404,3,3,7,0
Used,4,0,United Kingdom,100.0,42,0,0,1828,22,43,7,0
Used,5,1,United States,100.0,1,0,0,4633,19,24,7,0
Used,4,0,United States,100.0,32,0,0,7322,5,11,5,0
Used,1,0,United States,93.3,35,1,2,260,8,10,7,0
Used,6,1,United Kingdom,100.0,95,1,0,3213,7,15,7,0
Used,5,1,Germany,100.0,18,0,0,6983,12,13,7,0
For parts or not working,4,0,United States,100.0,8,0,0,475,10,57,5,0
Used,2,0,United States,98.5,80,1,1,8370,9,16,7,0
Used,5,1,United States,100.0,5,0,0,4291,18,45,3,0
Used,5,1,Australia,100.0,43,0,0,2028,5,7,7,1
Used,3,0,Australia,100.0,8,0,0,5648,6,12,5,1
Used,4,0,United States,100.0,20,0,0,1251,14,19,7,0
Used,6,1,United Kingdom,100.0,1,0,0,3823,7,23,10,0
Open box,0,0,United States,100.0,97,0,0,4846,5,9,3,0
Used,5,1,United States,100.0,11,0,0,4245,11,18,3,0
Used,4,0,Australia,100.0,112,0,0,1102,13,26,10,1
For parts or not working,2,0,United Kingdom,100.0,1708,0,0,5656,11,20,7,1
Used,6,1,Germany,100.0,25,0,0,484,12,30,3,0
Used,0,0,United States,100.0,17,0,0,2061,9,42,5,0
Used,5,1,United Kingdom,100.0,5,0,0,2406,3,3,7,0
Used,1,0,United Kingdom,100.0,36,0,0,7126,5,7,7,1
Open box,2,0,Australia,100.0,18,0,0,771,11,29,3,0
Used,1,0,United States,100.0,1,0,0,4659,6,18,7,0
Used,4,0,United States,100.0,30,1,0,181,19,38,5,0
Used,3,0,Australia,100.0,8,0,0,5655,6,12,5,1
Used,6,1,Australia,100.0,11,0,0,3384,3,8,3,0
Open box,2,0,Germany,100.0,1,0,0,2193,1,3,7,0
Used,6,1,United Kingdom,100.0,28,0,0,5973,7,16,5,0
Open box,1,0,United Kingdom,100.0,29,0,0,5681,22,42,7,0
Used,4,0,United States,100.0,2,0,0,5306,7,16,7,0
Used,1,0,United States,100.0,2,0,0,4681,12,21,7,0
Open box,2,0,United Kingdom,100.0,27,0,0,1653,7,13,7,0
Used,2,0,United States,100.0,5,0,0,5327,6,7,7,0
Used,1,0,United States,100.0,10,0,0,7094,9,18,7,0
Used,1,0,United States,100.0,5,0,0,7734,9,20,1,0
Used,6,1,United States,96.8,32,0,1,4700,9,27,7,0
Used,6,1,United States,100.0,8,0,0,8102,12,20,10,1
Open box,1,0,United States,100.0,3,0,0,3229,12,22,3,0
Used,2,0,United States,100.0,17,0,0,765,4,9,7,0
Used,5,1,United States,100.0,10,0,0,445,14,42,7,0
Used,5,1,United Kingdom,100.0,25,0,0,2300,9,20,1,0
Used,2,0,United States,100.0,9,0,0,6745,10,14,3,0
Used,5,1,United States,100.0,6,0,0,6085,3,3,3,0
Used,3,0,United Kingdom,100.0,2,0,0,6363,10,18,5,0
Used,4,0,United States,100.0,27,0,0,2870,9,16,1,0
Used,5,1,United Kingdom,98.4,64,0,1,6657,9,15,7,0
Used,1,0,United States,100.0,1,0,0,4657,6,18,7,0
Used,6,1,Germany,100.0,3,0,0,2641,17,59,7,0
Used,4,0,Germany,100.0,5,0,0,7337,6,10,3,0
Open box,2,0,United States,100.0,108,0,0,5306,3,8,7,0
Used,5,1,United Kingdom,100.0,14,0,0,75,2,4,3,0
Open box,0,0,Germany,100.0,2,0,0,499,19,70,5,0
Used,5,1,United Kingdom,100.0,43,0,0,320,19,35,3,1
Used,1,0,United States,100.0,28,0,0,4050,9,14,7,0
Used,6,1,Germany,100.0,84,0,0,1996,19,51,10,0
Used,0,0,United States,98.0,59,0,1,7784,13,22,7,0
Used,4,0,United States,100.0,25,0,0,2876,6,8,1,0
Used,3,0,United Kingdom,100.0,10,0,0,6872,14,19,3,0
Used,6,1,United Kingdom,95.8,25,0,1,4202,14,32,7,0
Used,3,0,United States,100.0,1,0,0,8261,9,15,3,0
Used,6,1,United Kingdom,100.0,24,0,0,5898,10,21,5,0
Used,6,1,Germany,100.0,12,0,0,5229,20,70,7,1
Used,0,0,United States,100.0,2,0,0,7951,4,10,1,0
Used,0,0,United States,100.0,51,0,0,8501,15,52,7,0
Used,6,1,United Kingdom,98.7,79,0,1,7829,15,35,7,0
Used,4,0,Germany,100.0,24,0,0,3280,23,48,5,0
Used,4,0,United States,100.0,4,0,0,7400,7,19,3,0
Used,2,0,United Kingdom,100.0,9,0,0,4395,26,49,3,0
Used,5,1,United Kingdom,100.0,26,0,0,2306,9,20,1,0
Open box,5,1,United Kingdom,100.0,75,0,0,602,15,25,3,1
Used,0,0,United States,100.0,23,0,0,5256,15,27,5,0
New,5,1,Germany,95.8,26,0,1,379,13,34,3,0
Used,4,0,United States,100.0,7,0,0,3939,10,12,3,0
Used,6,1,Germany,100.0,13,0,0,7003,14,20,7,0
Used,6,1,United States,100.0,6,0,0,6548,2,3,5,0
New,0,0,United Kingdom,100.0,7,0,0,1651,4,7,5,0
Open box,0,0,Germany,100.0,3,0,0,7307,14,32,7,0
Open box,6,1,United Kingdom,100.0,75,0,0,626,16,32,1,0
Open box,2,0,Australia,100.0,16,0,0,775,11,29,3,0
Used,5,1,Australia,100.0,4,0,0,4316,14,37,7,0
New,6,1,Germany,100.0,40,0,0,2509,19,64,1,0
Used,6,1,Germany,100.0,2,0,0,7363,12,29,7,0
Used,1,0,Germany,100.0,2,0,0,6260,23,46,3,0
Used,6,1,United Kingdom,100.0,7,0,0,1357,6,12,7,0
Used,1,0,United States,100.0,20,0,0,2334,13,25,7,0
Used,1,0,United States,100.0,113,0,0,367,21,43,3,0
Open box,4,0,United Kingdom,100.0,5,0,0,493,13,21,7,0
Used,6,1,Germany,100.0,2,0,0,7365,12,29,7,0
Used,0,0,United Kingdom,100.0,41,0,0,3237,4,8,3,0
Used,4,0,United States,100.0,2,0,0,5300,9,31,3,0
Used,6,1,Germany,100.0,25,0,0,6905,11,17,5,0
Used,5,1,United States,100.0,6,0,0,6083,3,3,3,0
Used,0,0,United States,100.0,7,0,0,5647,6,15,7,0
Used,3,0,United Kingdom,100.0,2,0,0,6370,6,15,5,0
Used,4,0,United Kingdom,90.0,21,0,2,2693,3,6,3,0
Used,5,1,Australia,100.0,52,0,0,4891,9,23,1,0
Used,2,0,Germany,100.0,27,0,0,3896,2,3,5,0
Used,0,0,United States,100.0,1,0,0,3020,6,12,7,0
Open box,6,1,United Kingdom,100.0,17,0,0,3707,11,15,7,0
Used,0,0,United States,100.0,70,0,0,3109,10,30,10,0
Used,6,1,Germany,100.0,28,0,0,7206,7,14,7,0
Used,2,0,United States,100.0,26,0,0,6626,20,78,5,0
Used,0,0,United States,100.0,37,0,0,2023,9,22,5,1
Used,4,0,United States,100.0,4,0,0,4435,16,25,5,0
Used,3,0,United States,100.0,17,0,0,2061,10,24,5,0
Used,2,0,Australia,100.0,8,0,0,6660,7,21,7,0
Used,4,0,Italy,100.0,3,0,0,1765,7,26,3,0
Used,6,1,United Kingdom,100.0,58,0,0,7088,8,12,7,0
Used,4,0,United Kingdom,100.0,6,0,0,2454,4,5,5,0
New,4,0,United States,100.0,44,0,0,870,11,24,7,0
Used,6,1,Italy,100.0,25,0,0,6260,17,38,7,0
Used,5,1,United States,100.0,4,0,0,6135,9,51,5,0
Used,6,1,United Kingdom,100.0,113,1,0,3163,7,15,7,0
Used,2,0,Australia,100.0,8,0,0,6658,7,21,7,0
Used,0,0,United States,100.0,7,0,0,5804,18,51,7,1
Used,1,0,United States,100.0,28,1,0,7058,17,25,5,0
Used,3,0,United States,100.0,27,0,0,2872,6,10,1,0
Used,3,0,United States,99.3,3383,29,22,3100,16,41,1,1
Used,4,0,United States,100.0,11,0,0,3753,8,12,7,0
Used,5,1,United States,100.0,15,0,0,2632,17,28,5,0
Used,1,0,United Kingdom,100.0,16,0,0,1276,11,16,7,0
Used,5,1,United States,100.0,12,0,0,5306,7,12,7,0
Used,6,1,United States,100.0,4,0,0,6812,10,20,5,1
Used,1,0,United Kingdom,100.0,19,0,0,1228,11,16,7,0
Used,1,0,United States,100.0,163,0,0,7788,12,19,1,1
Used,2,0,Germany,100.0,1,0,0,2474,15,98,7,0
New,2,0,Italy,100.0,24,0,0,6677,7,12,10,0
Open box,0,0,United Kingdom,92.9,13,0,1,2846,3,3,7,0
For parts or not working,0,0,United States,100.0,14,0,0,4133,22,73,1,0
Open box,3,0,United States,100.0,114,0,0,4535,4,7,7,0
Used,2,0,United States,100.0,8,0,0,3372,12,24,7,0
Used,0,0,United States,100.0,15,0,0,2727,3,9,1,0
New,1,0,Italy,100.0,26,0,0,4295,13,28,5,0
Used,6,1,United Kingdom,100.0,1,0,0,30,16,31,5,0
Used,0,0,United States,83.3,5,0,1,5024,5,7,1,0
Used,4,0,United States,100.0,7,0,0,1930,8,19,7,0
Used,3,0,United States,100.0,774,5,0,6122,4,4,5,0
For parts or not working,6,1,United Kingdom,100.0,25,0,0,955,3,7,3,0
Used,6,1,Germany,100.0,65,0,0,3052,11,56,7,0
Used,3,0,United Kingdom,100.0,0,0,0,5353,3,12,3,0
Used,6,1,United Kingdom,100.0,98,0,0,1210,6,9,7,0
Used,4,0,United States,100.0,5,0,0,3063,8,20,7,0
Used,2,0,United Kingdom,100.0,17,0,0,2632,11,25,7,0
Used,6,1,United Kingdom,90.0,21,0,2,2774,13,42,1,0
Used,2,0,Germany,100.0,23,0,0,3920,2,3,5,0
Used,0,0,Germany,100.0,36,0,0,7351,7,24,7,0
Used,4,0,United Kingdom,96.2,29,0,1,5317,7,45,7,0
Used,6,1,Germany,100.0,78,0,0,2044,19,51,10,0
Used,1,0,United States,100.0,28,1,0,7060,17,25,5,0
Used,0,0,Germany,100.0,80,0,0,6644,20,48,7,0
For parts or not working,4,0,United States,100.0,8,0,0,473,10,57,5,0
Used,2,0,United States,100.0,5,0,0,3057,6,19,7,0
Used,0,0,Germany,100.0,2,0,0,5678,13,41,1,0
Open box,2,0,United Kingdom,100.0,27,0,0,1651,7,13,7,0
New,5,1,United States,50.0,2,0,2,163,8,11,7,0
Used,6,1,United States,100.0,8,0,0,7569,11,16,7,0
For parts or not working,2,0,Australia,100.0,34,0,0,560,4,10,7,0
Used,1,0,United Kingdom,100.0,79,0,0,4185,5,9,5,0
Used,6,1,United States,98.8,119,0,1,385,14,45,1,0
Used,5,1,Germany,66.7,2,0,1,6152,14,38,5,0
Used,4,0,Australia,100.0,52,0,0,291,23,55,3,0
Open box,1,0,United States,100.0,1,0,0,70,17,29,7,0
Open box,6,1,United States,100.0,10,0,0,4590,2,6,7,0
Used,1,0,United States,98.8,119,0,1,385,21,43,3,0
Used,6,1,Australia,100.0,5,0,0,5402,17,29,7,0
Used,6,1,United States,100.0,5,0,0,5967,12,20,5,0
Used,0,0,United States,100.0,1,0,0,4027,23,42,7,0
Open box,1,0,United Kingdom,100.0,77,0,0,600,7,25,3,1
Used,5,1,Italy,100.0,1,0,0,13,19,55,5,0
Used,1,0,United States,100.0,68,0,0,6802,2,5,1,0
Used,6,1,United Kingdom,100.0,17,0,0,6237,23,55,7,0
Used,3,0,United States,100.0,5,0,0,5757,8,16,1,0
New,6,1,United States,100.0,7,0,0,227,5,11,7,0
For parts or not working,0,0,United States,100.0,10866,28,2,1524,15,61,5,1
Used,0,0,United Kingdom,100.0,23,0,0,5923,12,23,7,0
Used,6,1,United Kingdom,100.0,25,0,0,2300,7,12,1,0
Used,3,0,United States,100.0,25,0,0,2876,6,10,1,0
Used,5,1,United States,100.0,9,0,0,439,14,42,7,0
Used,4,0,United Kingdom,100.0,1,1,0,1374,15,34,5,0
Used,5,1,United States,97.0,115,1,4,4428,13,47,1,0
Used,4,0,United States,99.5,3338,25,15,3149,18,46,1,1
Open box,5,1,United Kingdom,80.0,4,0,1,3149,6,8,3,0
Used,2,0,United States,100.0,25,0,0,4745,4,4,7,0
Used,6,1,United States,100.0,5,0,0,2372,14,28,3,0
Used,5,1,United States,100.0,28,0,0,8280,16,34,7,0
New,1,0,Italy,100.0,26,0,0,4293,13,28,5,0
New,0,0,Australia,100.0,15,0,0,1846,4,10,7,0
Used,5,1,United States,100.0,4,0,0,4289,18,45,3,0
Used,4,0,Germany,100.0,12,0,0,2599,7,15,7,0
Used,3,0,Germany,100.0,19,0,0,1700,19,63,7,0
Used,0,0,United States,100.0,1,0,0,6997,15,23,5,0
For parts or not working,1,0,United States,100.0,10226,20,1,1474,14,28,7,1
Used,5,1,United States,100.0,68,0,0,6802,8,9,1,0
Used,0,0,United States,100.0,1,0,0,7674,20,30,7,0
Used,1,0,United Kingdom,100.0,77,0,0,4178,5,9,5,0
Used,4,0,Italy,100.0,47,0,0,390,21,80,10,0
Open box,3,0,United States,100.0,1,0,0,1171,13,26,7,0
Used,6,1,United States,100.0,3,0,0,7567,17,30,7,0
Used,3,0,United Kingdom,100.0,125,0,0,2057,5,9,7,0
Used,4,0,Germany,100.0,10,0,0,2364,8,28,7,0
Used,2,0,United States,100.0,27,0,0,2870,7,11,1,0
Used,4,0,United Kingdom,100.0,5,0,0,2404,4,5,5,0
Used,5,1,United States,100.0,11,0,0,3017,5,9,5,0
Used,4,0,United Kingdom,100.0,64,0,0,981,13,21,7,0
Used,6,1,United States,100.0,1,0,0,8220,11,18,7,1
Used,1,0,United States,100.0,67,0,0,6809,2,5,1,0
Used,1,0,Germany,100.0,6,0,0,6789,20,66,7,0
Used,4,0,United States,100.0,4,0,0,2018,8,22,10,0
Used,2,0,United States,100.0,15,0,0,358,18,44,7,0
Used,2,0,Australia,100.0,4,0,0,41,5,11,7,0
Used,0,0,United States,100.0,11,0,0,3630,6,10,5,0
Used,5,1,Germany,100.0,49,0,0,2257,16,37,1,0
Used,0,0,United States,100.0,14,0,0,4428,10,20,7,0
Used,5,1,United States,100.0,1,0,0,24,20,38,7,0
New,0,0,Australia,100.0,11,0,0,1796,4,10,7,0
For parts or not working,2,0,United States,100.0,5,0,0,8031,10,31,3,1
Used,2,0,United Kingdom,100.0,17,0,0,2634,11,25,7,0
New,5,1,Germany,98.0,53,0,1,2559,12,37,1,0
Used,6,1,United States,100.0,3,0,0,6234,11,19,7,0
Used,6,1,United States,100.0,1,0,0,6616,15,22,10,0
Open box,3,0,Germany,100.0,2,0,0,6587,6,11,10,0
Used,0,0,United States,90.0,10,0,1,3193,7,14,7,0
Open box,2,0,United Kingdom,100.0,29,0,0,5633,13,28,7,0
Used,4,0,United Kingdom,100.0,42,0,0,1826,22,43,7,0
Used,4,0,United States,85.7,7,0,1,3348,6,23,3,0
Open box,6,1,Australia,100.0,4,0,0,1183,4,11,7,0
New,3,0,United Kingdom,88.9,8,0,1,1675,6,7,3,0
Used,0,0,United Kingdom,100.0,1,0,0,728,15,28,7,0
Used,5,1,United States,100.0,1,0,0,4405,1,3,5,0
Used,6,1,United States,100.0,4,0,0,4916,15,18,7,0
Open box,2,0,United States,80.0,4,0,4,6589,8,9,3,0
Used,6,1,United Kingdom,100.0,25,0,0,2300,7,18,1,0
Used,6,1,United States,100.0,23,0,0,363,9,21,3,0
Used,4,0,United Kingdom,100.0,4,0,0,519,4,14,7,0
Used,3,0,Australia,100.0,4,0,0,2225,12,48,1,0
Used,4,0,United States,100.0,27,0,0,2870,6,7,1,0
Used,4,0,Germany,100.0,6,0,0,7384,13,22,7,0
Used,3,0,United States,100.0,6,0,0,4058,4,10,1,1
Used,4,0,United States,100.0,5,0,0,5510,8,11,7,0
Used,1,0,United States,100.0,11,0,0,7092,7,15,7,0
Used,0,0,Australia,100.0,4,0,0,3638,2,3,3,0
Used,2,0,United States,100.0,5,0,0,5419,27,55,5,0
Used,5,1,United States,100.0,2,0,0,42,17,40,5,0
Used,3,0,United Kingdom,100.0,82,1,0,1007,14,34,10,0
Used,6,1,United Kingdom,100.0,59,0,0,4126,12,30,5,0
Open box,5,1,United States,100.0,1,0,0,8265,18,49,7,1
Used,1,0,United States,100.0,28,2,0,7108,17,25,5,0
Used,1,0,United Kingdom,100.0,13,0,0,5835,7,19,7,0
Used,3,0,United States,99.3,3383,29,22,3100,12,45,1,1
Used,1,0,United States,100.0,2,0,0,5320,28,83,1,0
Used,2,0,Australia,100.0,69,0,0,5403,8,15,5,0
New,3,0,Germany,100.0,1,0,0,1531,2,7,3,0
Used,2,0,United Kingdom,100.0,1,0,0,1785,10,14,3,0
Used,4,0,United States,100.0,11,0,0,4245,6,10,5,0
Used,4,0,Germany,100.0,53,1,0,6436,20,65,5,0
Used,6,1,United States,100.0,1,0,0,6616,16,34,10,0
Used,6,1,Germany,100.0,35,1,0,4087,3,5,3,0
Used,5,1,Germany,100.0,3,0,0,5822,13,25,3,0
Used,3,0,United Kingdom,100.0,12,0,0,880,16,44,1,0
Used,0,0,Germany,100.0,10,0,0,2462,10,13,7,0
Used,5,1,United States,100.0,14,0,0,4261,4,9,5,0
Open box,0,0,United States,100.0,1,0,0,118,9,11,7,0
Used,5,1,United States,100.0,5,0,0,195,14,21,5,0
Used,5,1,United Kingdom,100.0,231,2,0,1567,8,12,1,0
Used,0,0,United States,100.0,11,0,0,5168,6,9,5,1
Used,2,0,United Kingdom,100.0,17,0,0,2638,11,25,7,0
Used,2,0,United States,100.0,33,0,0,5934,9,24,1,0
Used,2,0,United States,100.0,5,0,0,4295,4,12,3,0
Used,4,0,United Kingdom,100.0,59,0,0,931,13,21,7,0
Used,3,0,United States,100.0,1,0,0,8281,14,26,7,0
Used,2,0,United Kingdom,100.0,77,0,0,7875,24,36,7,0
Used,2,0,United Kingdom,100.0,10,0,0,2342,7,19,7,0
Open box,4,0,United Kingdom,100.0,10,0,0,6003,8,17,7,0
Used,4,0,United States,100.0,18,0,0,1227,14,19,7,0
Used,5,1,Germany,100.0,3,0,0,1946,6,33,7,0
Used,4,0,United Kingdom,100.0,117,0,0,6407,14,20,5,0
Open box,2,0,United Kingdom,100.0,56,0,0,3920,13,25,7,1
Used,6,1,United Kingdom,100.0,6,0,0,6118,4,5,7,0
Used,3,0,United States,100.0,1,0,0,4027,14,30,3,0
Used,5,1,United Kingdom,100.0,5,1,0,7698,21,68,10,1
Used,4,0,United States,100.0,3,0,0,1091,9,13,7,0
New,6,1,Germany,100.0,3,0,0,6753,7,14,5,0
Used,4,0,United Kingdom,100.0,6,0,0,535,12,19,10,0
Used,5,1,United States,100.0,65,1,0,3515,7,18,3,0
Used,3,0,United States,100.0,2,0,0,8242,9,14,3,0
Used,0,0,Germany,93.3,15,0,1,3546,5,9,3,0
Used,5,1,United Kingdom,100.0,38,0,0,4203,8,12,7,0
Used,2,0,United States,100.0,5,0,0,5369,27,55,5,0
Used,5,1,Germany,100.0,31,0,0,8421,22,41,7,0
Used,3,0,Germany,100.0,10,0,0,3531,22,48,3,0
Used,5,1,Italy,97.7,45,1,1,240,12,41,3,1
Used,0,0,United States,100.0,68,0,0,6802,10,14,5,0
Used,6,1,United States,75.0,3,0,1,142,9,21,3,0
Used,6,1,Germany,100.0,34,0,0,1658,7,9,7,0
Used,1,0,Germany,80.0,4,0,1,3562,7,13,5,0
Used,2,0,Italy,100.0,3,0,0,689,12,22,7,0
Used,1,0,Germany,100.0,15,0,0,4583,7,19,7,1
Used,0,0,United States,100.0,3,0,0,6750,11,21,7,0
Used,1,0,United Kingdom,100.0,3,0,0,5725,17,40,3,0
For parts or not working,5,1,United States,100.0,4,0,0,8309,17,32,7,0
Used,0,0,United States,100.0,8,0,0,5967,10,31,7,0
New,2,0,United Kingdom,96.3,52,2,2,260,13,41,3,0
Used,5,1,United States,100.0,28,0,0,4050,4,11,7,0
For parts or not working,0,0,United States,100.0,16,0,0,4183,24,79,1,0
Used,5,1,Germany,100.0,57,0,0,7263,12,36,5,0
Used,0,0,United States,100.0,5,0,0,5371,15,46,5,0
Used,6,1,United Kingdom,100.0,36,0,0,4414,21,49,7,0
Used,1,0,United States,95.8,30,1,1,242,8,10,7,0
Used,6,1,United States,100.0,323,0,0,3901,41,86,10,1
Used,4,0,United States,100.0,62,0,0,336,6,14,3,0
Used,4,0,United Kingdom,100.0,18,0,0,2567,11,25,3,0
Used,2,0,United Kingdom,100.0,37,0,0,4210,6,9,7,0
Open box,0,0,Australia,100.0,10,0,0,4986,5,7,1,0
For parts or not working,2,0,United States,100.0,19,0,0,8604,10,20,7,0
Open box,2,0,United Kingdom,100.0,26,0,0,1657,7,13,7,0
Open box,5,1,United States,100.0,1,0,0,45,8,14,10,0
Open box,5,1,United States,97.6,73,0,1,1053,6,8,1,0
Open box,2,0,Germany,97.6,37,1,1,635,23,69,7,0
Used,0,0,United States,100.0,46,0,0,1376,10,20,3,0
Used,4,0,Germany,100.0,6,0,0,7386,13,22,7,0
For parts or not working,0,0,United States,100.0,10219,20,1,1476,15,61,5,1
Used,6,1,Germany,98.0,49,0,1,4596,17,55,7,0
Used,5,1,United States,100.0,14,0,0,2608,17,28,5,0
Used,1,0,Germany,100.0,7,0,0,5132,26,47,5,0
Used,0,0,United States,100.0,58,0,0,6749,12,24,3,0
Used,5,1,Germany,100.0,22,1,0,7072,12,29,5,0
Open box,2,0,United Kingdom,99.2,141,1,1,2055,12,20,1,0
Open box,2,0,United Kingdom,100.0,5,0,0,493,13,21,7,0
Used,6,1,Germany,100.0,82,0,0,2020,19,51,10,0
Used,1,0,United States,92.2,73,2,6,191,16,45,3,0
Used,3,0,United States,100.0,25,0,0,163,14,32,5,0
Used,6,1,United States,100.0,2,0,0,5950,17,35,3,0
Open box,5,1,United Kingdom,100.0,27,0,0,1675,10,20,7,0
Used,2,0,United States,100.0,15,0,0,741,4,9,7,0
Open box,1,0,United Kingdom,100.0,6,0,0,425,11,50,10,0
Open box,3,0,United States,100.0,27,0,0,5289,6,6,5,1
Used,6,1,United Kingdom,100.0,50,0,0,3635,3,6,7,0
Used,3,0,United States,100.0,27,0,0,2870,6,10,1,0
Used,6,1,Australia,100.0,5,0,0,5395,17,29,7,0
Used,4,0,United States,100.0,3,0,0,1093,9,13,7,0
Used,3,0,United States,100.0,1,0,0,1085,22,47,7,0
Used,6,1,Germany,100.0,4,0,0,3717,9,22,7,0
Used,3,0,United States,100.0,9,0,0,7817,8,24,7,0
Used,0,0,United States,100.0,4,0,0,4744,17,38,7,0
Used,6,1,United Kingdom,100.0,94,0,0,1204,6,9,7,0
Used,5,1,United States,100.0,11,0,0,3023,5,9,5,0
Used,2,0,United Kingdom,90.0,10,0,1,1545,8,11,7,0
Used,5,1,United States,100.0,12,0,0,4655,15,27,7,0
Used,1,0,Australia,100.0,11,0,0,3391,11,20,3,0
Used,0,0,United States,100.0,6,0,0,6084,4,7,5,0
Used,3,0,United States,100.0,30,1,0,181,18,49,1,0
New,4,0,United States,100.0,49,0,0,6489,19,28,7,0
Open box,2,0,United Kingdom,99.2,143,1,1,2048,12,20,1,0
Used,1,0,United Kingdom,100.0,17,0,0,930,13,39,5,0
Used,1,0,United States,100.0,31,1,0,188,23,45,1,0
Open box,3,0,United States,100.0,26,0,0,5291,6,6,5,1
Used,6,1,Germany,100.0,5,0,0,2481,23,107,10,0
Used,3,0,United States,100.0,1,0,0,8268,9,15,3,0
Used,3,0,United States,100.0,9,0,0,7791,8,24,7,0
Used,6,1,United Kingdom,90.0,21,0,2,2781,14,35,1,0
Used,5,1,United States,100.0,4,0,0,6230,8,16,1,0
Used,2,0,United States,100.0,5,0,0,4291,4,12,3,0
For parts or not working,6,1,United States,100.0,26,0,0,3915,12,30,7,0
For parts or not working,0,0,Germany,100.0,38,0,0,670,8,15,7,0
Used,3,0,United Kingdom,100.0,80,1,0,1005,14,34,10,0
Used,4,0,Australia,100.0,12,0,0,3880,7,21,7,0
Used,5,1,United States,100.0,93,0,0,6864,4,4,5,0
Used,1,0,United States,100.0,9,0,0,2403,9,12,7,0
Used,3,0,United States,100.0,3,0,0,1091,11,15,5,0
Used,4,0,United States,100.0,7,0,0,5654,5,11,3,0
Used,6,1,Australia,100.0,2,0,0,7788,7,16,3,1
Used,5,1,Australia,100.0,52,0,0,291,13,31,1,0
Used,0,0,United Kingdom,100.0,17,0,0,1106,24,55,7,0
Used,6,1,United States,100.0,20,0,0,2334,7,11,3,0
Used,2,0,United States,100.0,2,0,0,5950,11,18,3,0
Used,6,1,Australia,100.0,4,0,0,5668,8,14,5,0
Used,4,0,United States,100.0,15,0,0,3801,8,12,7,0
Open box,3,0,United States,100.0,115,0,0,4537,4,7,7,0
Used,6,1,Germany,100.0,25,0,0,6002,11,55,7,0
New,2,0,United Kingdom,100.0,1,0,0,1526,6,12,5,0
Used,4,0,United States,100.0,2,0,0,1141,9,13,7,0
Used,6,1,Australia,100.0,18,0,0,3071,8,15,5,0
Used,3,0,United Kingdom,98.2,58,0,1,6254,10,15,7,0
New,2,0,Australia,100.0,5,0,0,3478,15,28,5,0
Used,5,1,Germany,100.0,107,0,0,1977,8,23,1,0
Open box,1,0,United States,100.0,3,0,0,347,28,105,3,0
Used,6,1,Germany,100.0,73,0,0,3002,11,56,7,0
Used,0,0,United Kingdom,100.0,33,0,0,4043,19,50,7,0
Open box,0,0,United States,100.0,79,0,0,4896,5,9,3,0
New,0,0,United States,50.0,1,0,1,2335,6,12,3,0
Used,1,0,United Kingdom,100.0,6,0,0,853,3,9,7,0
Used,2,0,United Kingdom,100.0,10,0,0,5522,6,7,3,0
Used,0,0,United States,100.0,28,0,0,3542,6,11,7,0
Used,6,1,United States,100.0,8,0,0,6572,2,3,5,0
