condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,1,0,United States,100.0,1,0,0,4663,12,21,7,0
Used,6,1,Italy,100.0,19,0,0,2440,2,8,7,0
New,5,1,United States,100.0,6,0,0,7832,10,16,7,0
Used,1,0,United States,100.0,8,0,0,2315,3,5,7,0
Open box,3,0,United States,100.0,122,0,0,4561,4,7,7,0
Used,0,0,Australia,100.0,26,0,0,4029,29,86,7,0
Used,0,0,United States,100.0,5,0,0,338,6,7,3,0
New,6,1,United Kingdom,100.0,44,0,0,2402,6,12,7,0
Used,1,0,United States,100.0,30,1,0,181,23,45,1,0
Used,4,0,Italy,100.0,45,0,0,364,21,80,10,0
Used,2,0,Germany,100.0,15,0,0,4307,4,6,7,0
Used,6,1,United Kingdom,100.0,1,0,0,3873,7,23,10,0
Used,1,0,United Kingdom,100.0,5,0,0,1866,8,21,3,0
Used,2,0,Italy,100.0,3,0,0,689,15,26,7,0
Used,5,1,United States,100.0,13,0,0,948,13,22,7,0
Open box,1,0,United States,100.0,4,1,0,1169,4,7,3,0
Used,6,1,United States,96.3,28,0,1,4724,9,27,7,0
Used,4,0,United States,100.0,27,0,0,2870,6,8,1,0
Used,1,0,Germany,100.0,2,1,0,5040,16,31,3,0
Used,6,1,United Kingdom,100.0,73,0,0,5700,22,30,7,0
New,4,0,United States,66.7,2,0,1,186,10,26,7,0
Used,3,0,United Kingdom,100.0,16,0,0,696,15,27,3,0
Used,0,0,United Kingdom,100.0,31,1,0,6011,7,11,1,0
Used,4,0,United States,83.3,5,0,1,5517,8,11,7,0
Used,6,1,United States,100.0,310,0,0,3851,41,86,10,1
Used,6,1,United Kingdom,100.0,24,0,0,4955,12,22,5,0
Used,2,0,United States,100.0,53,0,0,605,3,6,5,0
Used,2,0,United States,100.0,168,0,0,5318,14,25,7,0
Used,4,0,Australia,100.0,2,0,0,7536,11,41,7,0
Used,3,0,United States,100.0,162,0,0,5268,17,29,3,0
Used,5,1,Germany,100.0,6,0,0,7143,6,12,7,1
Used,3,0,Australia,99.5,226,1,1,1050,19,45,10,1
Used,1,0,United Kingdom,100.0,2,0,0,2351,3,3,7,0
New,5,1,United Kingdom,100.0,9,0,0,1810,7,21,7,0
Used,2,0,United States,98.5,80,1,1,8364,9,16,7,0
Used,1,0,United States,100.0,8,0,0,3753,8,16,3,1
Used,5,1,United Kingdom,100.0,13,0,0,901,20,41,7,0
Used,0,0,United States,100.0,1,0,0,5166,4,7,5,1
Used,2,0,United States,66.7,2,0,1,1316,18,26,5,0
Used,4,0,United Kingdom,90.0,21,0,2,2691,3,6,3,0
Used,1,0,United States,100.0,11,0,0,5170,5,10,5,1
For parts or not working,0,0,United Kingdom,99.6,745,3,3,3195,16,52,3,1
Used,0,0,United Kingdom,100.0,23,0,0,5916,12,23,7,0
Used,2,0,United States,100.0,12,0,0,7595,5,10,5,0
Used,1,0,Australia,100.0,1,0,0,4011,11,16,7,0
Used,6,1,United States,95.2,20,1,1,795,30,93,5,0
For parts or not working,0,0,United States,100.0,10215,20,0,1474,15,61,5,1
Used,2,0,United States,100.0,8,0,0,332,18,44,7,0
Used,3,0,United States,100.0,2,0,0,1729,13,30,3,0
Used,0,0,United Kingdom,100.0,3,0,0,3144,5,6,7,0
Used,0,0,Germany,100.0,8,0,0,2512,10,13,7,0
Used,1,0,Germany,100.0,2,1,0,4990,16,31,3,0
New,0,0,United Kingdom,100.0,241,1,0,873,27,39,7,0
Used,3,0,United Kingdom,100.0,133,0,0,6731,11,20,5,0
Open box,6,1,Germany,50.0,1,0,1,2883,12,26,7,0
Used,6,1,Germany,100.0,13,0,0,7005,14,20,7,0
Used,4,0,Germany,100.0,10,0,0,2368,8,28,7,0
Used,0,0,United Kingdom,100.0,1,1,0,1424,14,28,5,0
Used,6,1,United States,100.0,4,0,0,4289,3,12,5,0
Open box,2,0,United Kingdom,100.0,29,0,0,5657,13,28,7,0
Used,4,0,Italy,100.0,1,0,0,1761,7,26,3,0
New,6,1,Germany,100.0,1,0,0,1535,4,13,3,0
Used,5,1,United States,100.0,1,0,0,4409,1,3,5,0
Open box,1,0,United States,100.0,1,0,0,63,17,29,7,0
Used,0,0,Germany,100.0,4,0,0,7262,16,42,1,0
Used,4,0,Australia,100.0,112,0,0,1100,13,26,10,1
Used,1,0,United States,100.0,3,0,0,2287,3,6,5,0
Used,0,0,Australia,100.0,15,0,0,1285,15,29,7,0
Used,6,1,United States,100.0,2,0,0,8163,16,23,7,0
Open box,3,0,United States,100.0,1,0,0,1169,13,26,7,0
Used,0,0,Germany,100.0,2,0,0,5671,13,41,1,0
Used,4,0,United Kingdom,100.0,26,0,0,2306,5,8,1,0
Used,5,1,United Kingdom,100.0,31,0,0,6181,17,28,5,0
Used,3,0,Germany,100.0,19,0,0,7628,10,19,7,0
Used,3,0,United States,100.0,1,1,0,695,11,16,10,0
Used,3,0,United Kingdom,100.0,39,0,0,3243,6,11,3,0
Open box,0,0,Germany,100.0,2,0,0,505,19,70,5,0
Used,3,0,United States,100.0,1,0,0,4077,14,30,3,0
Used,2,0,United Kingdom,100.0,7,0,0,1351,5,12,7,0
Used,5,1,United States,100.0,13,0,0,4651,15,27,7,0
Used,0,0,United States,97.3,37,0,2,2026,15,41,3,1
Used,3,0,United States,100.0,32,0,0,3530,15,30,7,0
